orig_result,0_area,0_result,0_score,1_area,1_result,1_score,2_area,2_result,2_score,3_area,3_result,3_score,4_area,4_result,4_score,5_area,5_result,5_score
1.0,29,1,39968,29,1,44657,22,1,36141,22,1,40928,22,1,34741,22,1,38632,29,1,44657,22,1,36141,22,1,40928,22,1,34741,22,1,38632,29,1,44657,22,1,36141,22,1,40928,22,1,34741,22,1,38632,29,1,44657,22,1,36141,22,1,40928,22,1,34741,22,1,38632,29,1,44657,22,1,36141,22,1,40928,22,1,34741,22,1,38632
1.0,22,1,30438,22,1,32643,9,1,26017,9,1,28129,8,1,22643,8,1,24472,22,1,32643,9,1,26017,9,1,28129,8,1,22643,8,1,24472,22,1,32643,9,1,26017,9,1,28129,8,1,22643,8,1,24472,22,1,32643,9,1,26017,9,1,28129,8,1,22643,8,1,24472,22,1,32643,9,1,26017,9,1,28129,8,1,22643,8,1,24472
1.0,29,1,45810,29,1,49280,13,1,37597,14,1,40779,13,1,31862,14,1,34261,29,1,49280,13,1,37597,14,1,40779,13,1,31862,14,1,34261,29,1,49280,13,1,37597,14,1,40779,13,1,31862,14,1,34261,29,1,49280,13,1,37597,14,1,40779,13,1,31862,14,1,34261,29,1,49280,13,1,37597,14,1,40779,13,1,31862,14,1,34261
1.0,2,1,11523,2,1,12781,1,1,8396,1,1,10263,1,1,8431,1,1,9954,2,1,12781,1,1,8396,1,1,10263,1,1,8431,1,1,9954,2,1,12781,1,1,8396,1,1,10263,1,1,8431,1,1,9954,2,1,12781,1,1,8396,1,1,10263,1,1,8431,1,1,9954,2,1,12781,1,1,8396,1,1,10263,1,1,8431,1,1,9954
1.0,4,1,6870,4,1,7653,-15,1,6852,-15,1,7606,-15,1,7606,0,1,7606,4,1,7653,-15,1,6852,-15,1,7606,-15,1,7606,0,1,7606,4,1,7653,-15,1,6852,-15,1,7606,-15,1,7606,0,1,7606,4,1,7653,-15,1,6852,-15,1,7606,-15,1,7606,0,1,7606,4,1,7653,-15,1,6852,-15,1,7606,-15,1,7606,0,1,7606
0.0,-39,0,35548,-28,0,26868,-28,0,27323,-28,0,20265,-39,0,21306,-30,0,16649,-28,0,26868,-28,0,27323,-28,0,20265,-39,0,21306,-30,0,16649,-28,0,26868,-28,0,27323,-28,0,20265,-39,0,21306,-30,0,16649,-28,0,26868,-28,0,27323,-28,0,20265,-39,0,21306,-30,0,16649,-28,0,26868,-28,0,27323,-28,0,20265,-39,0,21306,-30,0,16649
0.0,-66,0,82747,-48,0,64623,-49,0,64311,-51,0,49378,-51,0,52342,-48,0,41004,-48,0,64623,-49,0,64311,-51,0,49378,-51,0,52342,-48,0,41004,-48,0,64623,-49,0,64311,-51,0,49378,-51,0,52342,-48,0,41004,-48,0,64623,-49,0,64311,-51,0,49378,-51,0,52342,-48,0,41004,-48,0,64623,-49,0,64311,-51,0,49378,-51,0,52342,-48,0,41004
1.0,-1,1,2931,-1,1,4920,-7,1,3758,-7,1,6102,-7,1,4642,-7,1,6986,-1,1,4920,-7,1,3758,-7,1,6102,-7,1,4642,-7,1,6986,-1,1,4920,-7,1,3758,-7,1,6102,-7,1,4642,-7,1,6986,-1,1,4920,-7,1,3758,-7,1,6102,-7,1,4642,-7,1,6986,-1,1,4920,-7,1,3758,-7,1,6102,-7,1,4642,-7,1,6986
1.0,29,1,47728,29,1,51487,26,1,40017,26,1,43073,29,1,35823,29,1,39622,29,1,51487,26,1,40017,26,1,43073,29,1,35823,29,1,39622,29,1,51487,26,1,40017,26,1,43073,29,1,35823,29,1,39622,29,1,51487,26,1,40017,26,1,43073,29,1,35823,29,1,39622,29,1,51487,26,1,40017,26,1,43073,29,1,35823,29,1,39622
0.0,-20,0,3778,-20,0,1467,-23,0,4359,-22,0,1782,-23,0,3280,-23,0,1363,-20,0,1467,-23,0,4359,-22,0,1782,-23,0,3280,-23,0,1363,-20,0,1467,-23,0,4359,-22,0,1782,-23,0,3280,-23,0,1363,-20,0,1467,-23,0,4359,-22,0,1782,-23,0,3280,-23,0,1363,-20,0,1467,-23,0,4359,-22,0,1782,-23,0,3280,-23,0,1363
