orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
orig_result,0_loss_pro,0_loss_neg,0_win_pro,0_win_neg,0_draw_pro,0_draw_neg,0_area_score,1_loss_pro,1_loss_neg,1_win_pro,1_win_neg,1_draw_pro,1_draw_neg,1_area_score,2_loss_pro,2_loss_neg,2_win_pro,2_win_neg,2_draw_pro,2_draw_neg,2_area_score,3_loss_pro,3_loss_neg,3_win_pro,3_win_neg,3_draw_pro,3_draw_neg,3_area_score,4_loss_pro,4_loss_neg,4_win_pro,4_win_neg,4_draw_pro,4_draw_neg,4_area_score,5_loss_pro,5_loss_neg,5_win_pro,5_win_neg,5_draw_pro,5_draw_neg,5_area_score,6_loss_pro,6_loss_neg,6_win_pro,6_win_neg,6_draw_pro,6_draw_neg,6_area_score,7_loss_pro,7_loss_neg,7_win_pro,7_win_neg,7_draw_pro,7_draw_neg,7_area_score,8_loss_pro,8_loss_neg,8_win_pro,8_win_neg,8_draw_pro,8_draw_neg,8_area_score,9_loss_pro,9_loss_neg,9_win_pro,9_win_neg,9_draw_pro,9_draw_neg,9_area_score
1.0,1262,50599,39968,0,59,17935,29,0,61653,52461,0,59,19989,32,0,51704,48243,0,59,19041,28,0,63842,57150,0,59,22517,32,0,53893,52932,0,59,21569,28,0,63242,59497,0,59,22517,32
1.0,0,42547,30438,0,5,7506,22,0,47256,42971,0,5,12208,26,0,42255,34673,0,32,12208,22,0,49657,44824,0,5,12208,26,0,39507,37829,0,5,13200,15,0,52037,47444,0,5,13109,26
1.0,1862,49061,45810,0,42,15744,29,1862,60910,53529,0,39,17107,34,2592,42035,42666,0,39,13752,20,1862,60910,53529,0,39,17107,34,2592,42035,42666,0,39,13752,20,604,66183,58882,0,52,19388,34
1.0,7523,12070,13390,1867,65,6488,2,5602,12070,14648,1867,65,8085,2,4444,10132,11539,1867,103,6488,1,4428,12070,14648,1867,92,8085,2,4428,11098,12540,1867,92,7500,1,5602,12070,14757,1867,115,8085,10
1.0,2996,5262,7624,754,121,6907,4,948,6541,11664,754,110,9335,19,948,4496,10708,754,67,8609,11,948,6541,12556,754,120,9335,19,948,5775,11898,754,110,8609,18,0,123532,116099,0,0,39370,74
0.0,35548,0,1666,52987,30,11620,-39,20674,0,2451,34344,32,10866,-27,23512,0,3477,39194,55,12097,-27,19854,0,3477,25404,45,12594,-26,21365,0,2696,30355,55,11796,-26,18142,0,2696,23524,68,11796,-25
0.0,83394,647,2171,98444,1,29712,-66,50025,647,2171,67609,46,24708,-51,52989,647,2171,68573,46,24708,-51,42050,647,2171,53552,46,19586,-47,44584,647,885,57192,46,20368,-49,36417,647,2171,52129,46,20086,-48
1.0,1327,5624,5022,2091,67,6518,-1,2242,13129,13000,3489,0,6502,1,2242,13129,9913,3489,0,5751,0,2242,14159,19255,7097,0,7381,-3,2242,14159,16168,7097,0,6630,-4,2242,20681,22877,7796,0,5969,6
1.0,1231,46954,48447,719,0,15736,29,1231,51417,53318,0,8,17487,29,1231,40462,44377,1122,8,15349,21,1231,60489,58874,0,0,21300,36,1961,48566,47404,0,0,15360,33,0,69691,61455,0,0,21120,36
0.0,11091,7313,1616,12580,51,6913,-20,9122,7313,1616,11083,51,6913,-20,9122,5907,855,11083,61,6913,-20,9122,7313,1616,11083,51,6913,-20,8392,5907,855,11083,61,6913,-19,8392,6353,1616,9270,52,7544,-19
1.0,1015,56758,62079,0,35,21763,33,1015,63842,71312,0,35,26337,39,1015,53384,61510,0,35,21483,38,1015,72106,80058,0,75,31415,44,0,66697,68904,0,75,26817,41,1015,76109,87236,0,100,31830,44
1.0,0,18687,16114,835,42,6430,21,0,30490,44428,0,15,11690,33,0,26755,35346,0,15,10209,26,0,30490,44428,0,15,11690,33,0,26031,38183,0,26,10960,31,0,71132,66405,0,0,34190,56
0.0,16270,6184,0,12736,217,3666,-15,14192,6184,0,12098,218,3666,-15,14578,4703,793,10889,179,2574,-2,14911,7172,0,10353,171,1842,-2,12213,3765,0,12641,218,4250,-9,11154,3765,793,10503,243,4250,-8
